,Unnamed: 0,Timestamp,Price,TokenMintAccount,Attributes,Collection
0,0,1657102710,200000000,F5p5um97yV8pN9yCCnDfFx5vdoSMTniSAnc6gQ8wMobr,"Background:Yellow,Items:None,Skin:Trippy,Eyes:Green Eyes,Clothes:Camo Hoodie,Neck:None,Head:None",pocket_godz
1603,1948,1647232881,480000000,6nPTVhUiagNi2nMj5Km9ueyccfVSHg4Q7MMtpp78csbo,"Background:Green,Items:Sword,Skin:Ghost,Eyes:Normal Eyes,Clothes:White Tank top,Neck:None,Head:Beanie",pocket_godz
1845,2241,1645986581,400000000,BLTnSTL3eN4q4FkRJKRtUR75kYQ9e1LcyuwRWr5kwko8,"Background:Purple,Items:Bazooka,Skin:Human,Eyes:Red Eyes,Clothes:Camo Hoodie,Neck:Dog Tag,Head:Beanie",pocket_godz
3688,4441,1649742092,300000000,8HU3WuSjs45gfZtRgHdvkZ49wDPtYjcXrYUyZEdRQPV5,"Background:Yellow,Items:Sword,Skin:Zombie,Eyes:Red Eyes,Clothes:Green Hoodie,Neck:Dog Tag,Head:Beanie",pocket_godz
6061,7351,1653170065,169000000,2mmnNr6hfTmf5Dq41N7ocw3SW3nTWoyTHRREnNhEN23b,"Background:Red,Items:Rifle,Skin:Human,Eyes:Gold Glasses,Clothes:White Tank top,Neck:None,Head:None",pocket_godz
7178,8702,1650893607,250000000,DocHYfN64pwggGiSUCzBA6hxjnKhGZshkRTfaoXPWxnQ,"Background:Palm trees,Items:None,Skin:Human,Eyes:Green Eyes,Clothes:Green Hoodie,Neck:Gold Chain,Head:None",pocket_godz
9082,11019,1655306343,130000000,5mYqPze3NDTUXNdRYHTTGRokbCfe1Jk7XBppwXQCLiZd,"Background:Green,Items:Sword,Skin:Ghost,Eyes:Eyepatch,Clothes:Green Hoodie,Neck:None,Head:None",pocket_godz
10277,12462,1650393190,300000000,JAsUwXvaecXdBepLZvn3rStd7bdcN2E25uoXVVijgddK,"Background:Red,Items:Sword,Skin:Human,Eyes:Normal Eyes,Clothes:Green Hoodie,Neck:Dog Tag,Head:None",pocket_godz
11290,13709,1645757207,400000000,7eSL759kwXRKZyz2EjKNBEDBheMv7E4XQvYZrmERKpMC,"Background:Yellow,Items:Two Swords,Skin:Human,Eyes:Normal Eyes,Clothes:Green Hoodie,Neck:Dog Tag,Head:Ninja Headband",pocket_godz
13758,16655,1649430621,200000000,DePBPrG4WKMi8drg2BgbjEKVnNrRUTseV43AWdmP7dgf,"Background:Green,Items:None,Skin:Human,Eyes:White Eyes,Clothes:Green Hoodie,Neck:Dog Tag,Head:Halo",pocket_godz
16293,19697,1645661473,340000000,6udBxQP1Pm5FCEhtuwuTo6yMzD4Wu5kbwkuYcT9kdxNb,"Background:Blue,Items:Sword,Skin:Zombie,Eyes:Blue Eyes,Clothes:Green Hoodie,Neck:Gold Chain,Head:Ninja Headband",pocket_godz
